gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
82,13,1.125000,0.675000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,13,1.175000,0.675000,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,14,0.025000,0.725000,41,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
63,14,0.175000,0.725000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,14,0.225000,0.725000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,14,0.275000,0.725000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,14,0.325000,0.725000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,14,0.375000,0.725000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
72,14,0.625000,0.725000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,14,0.725000,0.725000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,14,0.775000,0.725000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,14,0.825000,0.725000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,14,0.875000,0.725000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,14,0.925000,0.725000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,14,0.975000,0.725000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,14,1.025000,0.725000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,14,1.075000,0.725000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,14,1.125000,0.725000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,14,1.175000,0.725000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,14,1.225000,0.725000,18,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,14,1.275000,0.725000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,14,1.325000,0.725000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,15,0.025000,0.775000,50,0.141441,0.070720,0.980000,0.980000,0.000000,0.000000,0.020000
61,15,0.075000,0.775000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,15,0.175000,0.775000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,15,0.225000,0.775000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,15,0.275000,0.775000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,15,0.325000,0.775000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,15,0.375000,0.775000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
68,15,0.425000,0.775000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,15,0.675000,0.775000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,15,0.725000,0.775000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,15,0.775000,0.775000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,15,0.825000,0.775000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,15,0.875000,0.775000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,15,0.925000,0.775000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,15,0.975000,0.775000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,15,1.025000,0.775000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,15,1.075000,0.775000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,15,1.125000,0.775000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,15,1.175000,0.775000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,15,1.225000,0.775000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,15,1.275000,0.775000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,15,1.325000,0.775000,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,15,1.375000,0.775000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,16,0.025000,0.825000,49,0.143726,0.071863,0.979592,0.979592,0.000000,0.000000,0.020408
61,16,0.075000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,16,0.175000,0.825000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
65,16,0.275000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
66,16,0.325000,0.825000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
67,16,0.375000,0.825000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
68,16,0.425000,0.825000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
69,16,0.475000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
70,16,0.525000,0.825000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
71,16,0.575000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,16,0.775000,0.825000,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,16,0.825000,0.825000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,16,0.875000,0.825000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,16,0.925000,0.825000,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
79,16,0.975000,0.825000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
80,16,1.025000,0.825000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
81,16,1.075000,0.825000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
82,16,1.125000,0.825000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
83,16,1.175000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
84,16,1.225000,0.825000,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
85,16,1.275000,0.825000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
86,16,1.325000,0.825000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
87,16,1.375000,0.825000,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
88,16,1.425000,0.825000,15,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
89,16,1.475000,0.825000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,17,0.025000,0.875000,43,0.271390,0.135695,0.953488,0.953488,0.000000,0.000000,0.046512
