candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
252,nonchaotic,,0.000000,0.014144,0.061875,1.268395,1.652366,0.767623,-0.121201,1.147194,-1.139472,0.512895,0.483965,-1.052393,0.475832,0.588716,-0.592728,-0.083878,-1.028425,-0.692929,1.176584,-0.781952,-0.015676,1.066850
253,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.958583,-0.244205,-0.067659,-0.932674,1.127087,1.086193,0.819881,-0.891528,-0.695540,-0.458541,0.492136,-0.557356
254,collapsed,,0.000000,-0.798635,0.000000,0.000000,0.000000,0.000000,0.515912,0.515912,0.023648,0.023648,0.526644,0.507134,-1.044488,-0.609485,0.568801,-0.673340,0.263052,-0.343814,-0.221088,-0.034940,-0.122908,0.271762
255,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.143752,0.660343,0.444348,0.840782,0.434112,0.678452,-0.396748,-1.118236,0.626582,-0.970869,1.076501,1.021331
256,collapsed,,0.000000,-0.456646,0.000000,0.000000,0.000000,0.000000,-0.441687,-0.441687,0.539381,0.539381,-0.623913,0.420735,-0.176313,-0.173858,0.349446,0.593098,0.745764,-0.395800,0.184720,-0.320549,-0.903361,-0.021826
257,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.047473,-0.088259,0.887493,0.289922,0.596541,0.466023,0.418208,-0.285078,-1.085761,0.637360,0.884148,-0.433758
258,collapsed,,0.000000,-0.043974,0.002500,0.815703,2.219605,0.367499,-0.198563,0.617140,-0.799254,1.420351,0.241544,0.466339,0.430377,-0.756565,1.073100,-0.637617,1.118036,-0.804942,-0.845194,-0.800999,-1.156587,-0.310769
259,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.273272,-0.894613,0.403297,1.028849,-0.985426,0.306394,-0.432911,0.954231,0.818786,0.335388,-0.772174,1.118234
260,collapsed,,0.000000,-0.818299,0.000000,0.000000,0.000000,0.000000,-0.536201,-0.536201,-0.017067,-0.017067,-0.678763,-0.324955,-0.065869,-0.561919,0.455794,0.618670,-0.124081,-0.001441,0.401201,0.769068,0.937440,-0.505144
261,collapsed,,0.000000,-0.109478,0.002500,0.596074,0.582290,0.976874,-0.634581,-0.038507,0.344314,0.926604,-0.560085,-0.606756,-0.549788,-0.896421,-0.395491,0.229795,0.622138,-0.101126,-0.962598,1.069946,1.030703,-0.326444
